"guid","spelling","published","abbr1","abbr2","abbr3","type","gloss","character","arity","relational phrase","Original Textbook Order","LogFlash Order/Frequency",,"frequency"
100551,"kamni",,,,,"gismu","committee","委",3,"x1 (mass) is a committee with task/purpose x2 of body x3","8d",11,1,1
100552,"kampu",,,,"kau","gismu","common","普",2,"x1 (property - ka) is common/general/universal among members of set x2 (complete set)","6f",24,7,7
100553,"kanba",,,,,"gismu","goat","羝",2,"x1 is a goat/angora/[billy-goat/kid] of species/breed x2","ai",2,5,5
100554,"kancu",,"kac",,,"gismu","count","算",4,"x1 (agent) counts the number in set x2 to be x3 [number/count] counting [off] by units x4","3a",24,5,5
100555,"kandi",,"kad",,,"gismu","dim","淡",3,"x1 is dim/dull/pale/non-intense in property x2 (ka) as received/measured by observer x3","1a",39,3,3
100556,"kanji",,"kaj",,,"gismu","calculate","计",4,"x1 calculates/reckons/computes x2 [value (ni)/state] from data x3 by process x4","7e",0,4,4
100557,"kanla",,"kal",,,"gismu","eye","眼",2,"x1 is a/the eye [body-part] of x2; [metaphor: sensory apparatus]; (adjective:) x1 is ocular","1c",0,48,48
100558,"kanro",,,,"ka'o","gismu","healthy","康",2,"x1 is healthy/fit/well/in good health by standard x2","4c",35,21,21
100559,"kansa",,"kan",,,"gismu","with","陪",3,"x1 is with/accompanies/is a companion of x2, in state/condition/enterprise x3 (event/state)","2g",228,47,47
100560,"kantu",,,,"ka'u","gismu","quantum","朗",2,"x1 is a quantum/ray/elementary particle/smallest measurable increment of property/activity x2","7j",9,"#N/A",0
100561,"kanxe",,"kax",,,"gismu","conjunction","与",3,"x1 is a conjunction, stating that x2 (du'u) and x3 (du'u) are both true","7a",5,"#N/A",0
100562,"karbi",,"kab",,,"gismu","compare","比",5,"x1 [observer] compares x2 with x3 in property x4 (ka), determining comparison x5 (state)","7e",3,3,3
100563,"karce",,,,,"gismu","car","车",3,"x1 is a car/automobile/truck/van [a wheeled motor vehicle] for carrying x2, propelled by x3","4d",121,5,5
100564,"karda",,,,,"gismu","card","卡",3,"x1 is a card [small nearly-2-dimensional shape/form] of material x2, shape x3","9b",2,4,4
100565,"kargu",,,,,"gismu","costly","昂",3,"x1 (object/commodity/property/event) is costly/expensive/dear to x2 by standard x3","5e",55,2,2
100566,"karli",,,,,"gismu","collar","箍",3,"x1 is a collar/ring/belt/band around/surrounding x2 made of material x3","a",1,"#N/A",0
100567,"karni",,,,,"gismu","journal","刊",4,"x1 is a journal/periodical/magazine/[newspaper] with content x2 published by x3 for audience x4","8b",56,9,9
100568,"katna",,,,"ka'a","gismu","cut","切",3,"x1 (tool/blade/force) cuts [through]/splits/divides x2 (object) into pieces x3","5c",25,14,14
100569,"kavbu",,"kav",,,"gismu","capture","捕",3,"x1 captures/catches/apprehends/seizes/nabs x2 with trap/restraint x3","8e",33,10,10
100570,"kecti",,"kec",,"ke'i","gismu","pity","惋",3,"x1 (person) pities/feels sorry for x2 (person) about x3 (abstraction)","4c",23,10,10
100571,"kelci",,"kel",,"kei","gismu","play","玩",2,"x1 [agent] plays with plaything/toy x2","9c",116,32,32
100572,"kelvo",,,,"ke'o","gismu","kelvin","凄 ",3,"x1 is x2 degree(s) Kelvin [metric unit] in temperature (default is 1) by standard x3","af",1,2,2
100573,"kenra",,"ken",,,"gismu","cancer","癌",2,"x1 is a cancer [malignant disease] in x2","a",0,1,1
100574,"kensa",,"kes",,,"gismu","outer space","宇",2,"x1 is outer space near/associated with celestial body/region x2","am",3,4,4
100575,"kerfa",,,"kre",,"gismu","hair","髟",3,"x1 is a/the hair/fur [body-part] of x2 at body location x3","1c",60,10,10
100576,"kerlo",,"ker",,,"gismu","ear","耳",2,"x1 is a/the ear [body-part] of x2; [metaphor: sensory apparatus, information gathering]","1c",16,12,12
100577,"ketco",,"ket","tco",,"gismu","South American","湳",2,"x1 reflects South American culture/nationality/geography in aspect x2","ab",7,2,2
100578,"kevna",,"kev",,"ke'a","gismu","cavity","坑",2,"x1 is a cavity/hole/hollow/cavern in x2; x1 is concave within x2; x2 is hollow at locus x1","6c",148,6,6
100579,"kicne",,"kic",,"ki'e","gismu","cushion","垫",3,"x1 cushions x2 with material x3; x1 is a cushion/pillow/pad [for x2] of padding material x3","an",7,2,2
100580,"kijno",,"kij",,,"gismu","oxygen","氧",1,"x1 is a quantity of/contains/is made of oxygen (O); [metaphor: supporting life/combustion]","ag",1,"#N/A",0
100581,"kilto",,,,"ki'o","gismu","1000","k",3,"x1 is a thousand [1000; 1x10**3] of x2 in dimension/aspect x3 (default is units)","ae",0,1,1
100582,"kinli",,"kil",,,"gismu","sharp","敏",2,"x1 is sharp/keen at locus x2","7j",7,12,12
100583,"kisto",,"kis",,,"gismu","Pakistani","巴",2,"x1 reflects Pakistani/Pashto culture/nationality/language in aspect x2","ab",1,"#N/A",0
100584,"klaji",,"laj",,,"gismu","street","街",3,"x1 is a street/avenue/lane/drive/cul-de-sac/way/alley/[road] at x2 accessing x3","5d",23,7,7
100585,"klaku",,"kak",,,"gismu","weep","哭",3,"x1 weeps/cries tears x2 about/for reason x3 (event/state)","4c",27,22,22
100586,"klama",,,"kla",,"gismu","come","来",5,"x1 comes/goes to destination x2 from origin x3 via route x4 using means/vehicle x5","1g",1399,169,169
100587,"klani",,,,"lai","gismu","quantity","量",3,"x1 is a quantity quantified/measured/enumerated by x2 (quantifier) on scale x3 (si'o)","3b",31,7,7
100588,"klesi",,,"kle","lei","gismu","class","类",3,"x1 (mass/si'o) is a class/category/subgroup/subset within x2 with defining property x3 (ka)","7c",63,24,24
100589,"klina",,,"kli",,"gismu","clear","透",2,"x1 (object/medium) is clear/transparent/without obstacle to in-the-clear x2 [transmission]","7j",32,4,4
100590,"kliru",,,,,"gismu","chlorine","氯",2,"x1 is a quantity of/contains/is made of halogen of type x2 [chlorine, fluorine, iodine, etc.]","ag",3,"#N/A",0
100591,"kliti",,"kit",,,"gismu","clay","粘",2,"x1 is a quantity of/contains/is made of clay [moist, clammy dirt] of composition including x2","ah",4,"#N/A",0
100592,"klupe",,"lup",,"lu'e","gismu","screw","螺",4,"x1 is a screw [fastener] for purpose x2, threads [pitch, material] x3, frame [size, material] x4","a",0,"#N/A",0
100593,"kluza",,"luz",,,"gismu","loose","松",3,"x1 (obj.) is loose/bloused/not tight on x2 (obj.) at locus x3","3f",6,1,1
100594,"kobli",,"kob",,"ko'i","gismu","cabbage","菜",2,"x1 is a quantity of cabbage/lettuce/leafy vegetable of species/strain x2","aj",2,"#N/A",0
100595,"kojna",,"koj",,"ko'a","gismu","corner","落",3,"x1 is a corner/point/at-least-3-dimensional [solid] angle [shape/form] in/on x2, of material x3","9b",13,4,4
100596,"kolme",,"kol",,"ko'e","gismu","coal","煤",2,"x1 is a quantity of/contains/is made of coal/peat/anthracite/bituminous from source x2","ah",3,"#N/A",0
100597,"komcu",,"kom",,,"gismu","comb","梳",3,"x1 is a comb [many-needled shape] of material x2 with tines/needles x3","ao",1,"#N/A",0
100598,"konju",,"kon",,"ko'u","gismu","cone","锥",3,"x1 is a cone [shape/form] of material x2 with vertex x3","9b",0,"#N/A",0
100599,"korbi",,"kor",,"koi","gismu","edge","界",3,"x1 is an edge/margin/border/curb/boundary of x2 next-to/bordering-on x3","9b",43,28,28
100600,"korcu",,,"kro",,"gismu","bent","弯",1,"(adjective:) x1 is bent/crooked/not straight or direct/[twisted]/folded","6f",10,7,7
100601,"korka",,"kok",,,"gismu","cork","栓",2,"x1 is a quantity of/contains/is made of cork/bark from tree/species x2; [material]","ah",1,"#N/A",0
100602,"kosta",,"kos",,,"gismu","coat","袄",2,"x1 is a coat/jacket/sweater/cloak/[cape/shawl/pullover] [extra outer garment] of material x2","3f",23,6,6
100603,"kramu",,,,,"gismu","acre","亩",4,"x1 is x2 local area unit(s) [non-metric] (default 1) by standard x3, x4 subunits","af",0,1,1
100604,"krasi",,,"kra",,"gismu","source","源",2,"x1 (site/event) is a source/start/beginning/origin of x2 (object/event/process)","2c",156,20,20
100605,"krati",,,,"ka'i","gismu","represent","代",3,"x1 represents/is an agent/proxy/stands-in for [absent] x2 in matter(s)/function(s) x3","8c",9,5,5
100606,"krefu",,"ref",,"ke'u","gismu","recur","再",3,"x1 (event) is the x3'rd recurrence/repetition of x2 (abstract); x2 happens again in [form] x1","7j",56,26,26
100607,"krici",,,"kri",,"gismu","believe","信",3,"x1 believes [without evidence/proof] belief/creed x2 (du'u) is true/assumed about subject x3","3l",99,38,38
100608,"krili",,,,,"gismu","crystal","晶",3,"x1 is a quantity of/contains/is made of crystal of composition x2 in form/arrangement x3","ah",5,"#N/A",0
100609,"krinu",,"rin",,"ki'u","gismu","reason","理",2,"x1 (event/state) is a reason/justification/explanation for/causing/permitting x2 (event/state)","6a",73,38,38
100610,"krixa",,"kix",,"ki'a","gismu","cry out","喊",2,"x1 cries out/yells/howls sound x2; x1 is a crier","4c",53,58,58
100611,"kruca",,"kuc",,,"gismu","intersect","交",3,"x1 intersects/crosses/traverses x2 at locus x3","5d",31,3,3
100612,"kruji",,"ruj",,,"gismu","cream","泥",2,"x1 is made of/contains/is a quantity of cream/emulsion/puree [consistency] of composition x2","2j",18,2,2
100613,"kruvi",,"ruv","kru",,"gismu","curve","曲",4,"x1 is a curve/turn/bend in x2, at locus x3, and defined by set of points/properties x4","5d",4,1,1
100614,"kubli",,"kub",,,"gismu","cube","丁",3,"x1 is a cube/regular polyhedron/polygon of dimensions x2 (def. 3), surfaces/sides x3 (def. 6)","9b",3,"#N/A",0
100615,"kucli",,,,,"gismu","curious","趣",2,"x1 is curious/wonders about/is interested in/[inquisitive about] x2 (object/abstract)","9d",31,26,26
100616,"kufra",,"kuf",,,"gismu","comfort","舒",2,"x1 feels comfort/is comfortable with conditions/environmental property(ies) x2","9d",34,3,3
100617,"kukte",,"kuk",,,"gismu","delicious","妙",2,"x1 is delicious/tasty/delightful to observer/sense x2 [person, or sensory activity]","2j",24,3,3
100618,"kulnu",,,"klu",,"gismu","culture","文",2,"x1 [mass of ideas, customs, skills, arts] is culture of nation/ethos x2 (mass); x1 is ethnic","ab",45,6,6
100619,"kumfa",,"kum",,"ku'a","gismu","room","房",3,"x1 is a room of/in structure x2 surrounded by partitions/walls/ceiling/floor x3 (mass/jo'u)","2k",346,39,39
100620,"kumte",,,,,"gismu","camel","驼",2,"x1 is a camel/llama/alpaca/vicuna/dromedary of species/breed x2","ai",3,1,1
100621,"kunra",,"kun",,,"gismu","mineral","矿",3,"x1 is/contains/is made from a mineral/ore of type/metal x2 mined from location/lode/mine x3","6c",5,1,1
100622,"kunti",,"kut",,,"gismu","empty","匮",2,"x1 [container] is empty/vacant of x2 [material]; x1 is hollow","2g",54,11,11
100623,"kurfa",,"kur",,,"gismu","square","方",3,"x1 is a right-angled shape/form defined by set of vertices x2, dimensions x3 (default 2)","9b",2,11,11
100624,"kurji",,"kuj",,"ku'i","gismu","take care of","顾",2,"x1 takes-care-of/looks after/attends to/provides for/is caretaker for x2 (object/event/person)","2l",49,26,26
100625,"kurki",,,,,"gismu","bitter","苦",2,"x1 is bitter/acrid/sharply disagreeable to observer/sense x2","6f",6,3,3
100626,"kuspe",,"kup",,"ku'e","gismu","range","跨",2,"x1 ranges/extends/spans/persists/reaches across/over interval/gap/area/scope/extent/range x2","9b",5,2,2
100627,"kusru",,"kus",,,"gismu","cruel","残",2,"x1 (person) is cruel/mean/unkind to victim x2","9c",21,4,4
100628,"labno",,,,,"gismu","wolf","狼",2,"x1 is a wolf/lupine of species/breed x2","ai",3,"#N/A",0
100629,"lacpu",,"lap","cpu",,"gismu","pull","拉",3,"x1 pulls/tugs/draws/drags x2 by handle/at locus x3","8h",19,2,2
100630,"lacri",,"lac",,,"gismu","rely","赖",3,"x1 relies/depends/counts on/trusts x2 to bring about/ensure/maintain x3 (event/state)","8c",16,3,3
100631,"ladru",,"lad",,,"gismu","milk","奶",2,"x1 is made of/contains/is a quantity of milk from source x2; (adjective:) x1 is lactic/dairy","2j",16,2,2
100632,"lafti",,"laf",,,"gismu","lift","抬",4,"x1 (force) lifts/applies raising/supporting force to x2 at locus x3 in gravity well x4","8h",36,12,12
100633,"lakne",,,,"la'e","gismu","probable","该",2,"x1 (event/state/property) is probable/likely under conditions x2","6f",30,9,9
100634,"lakse",,"lak",,,"gismu","wax","蜡",2,"x1 is quantity of wax [substance especially soft/moldable when warm] from source x2","a",1,"#N/A",0
100635,"lalxu",,,,"la'u","gismu","lake","湖",2,"x1 is a lake/lagoon/pool at site/within land mass x2","6c",61,10,10
100636,"lamji",,"lam",,"la'i","gismu","adjacent","邻",4,"x1 is adjacent/beside/next to/in contact with x2 in property/sequence x3 in direction x4","2d",63,10,10
100637,"lanbi",,,,,"gismu","protein","朊",2,"x1 is a quantity of protein/albumin of type x2 composed of amino acids (sequence/jo'u)","aj",2,"#N/A",0
100638,"lanci",,,,,"gismu","flag","旗",4,"x1 is a flag/banner/standard of/symbolizing x2 with pattern(s) x3 on material x4","ao",0,1,1
100639,"lanka",,,,,"gismu","basket","篮",3,"x1 is a basket with contents x2, woven from material x3","ao",0,"#N/A",0
100640,"lanli",,"lal",,,"gismu","analyze","析",3,"x1 analyzes/examines-in-detail x2 by method/technique/system x3 [process/activity]","8c",21,4,4
100641,"lanme",,"lan",,,"gismu","sheep","羊",3,"x1 is a sheep/[lamb/ewe/ram] of species/breed x2 of flock x3","ai",2,2,2
100642,"lante",,,,,"gismu","can","罐",3,"x1 is a can/tightly sealed/pre-sealed container for perishable contents x2, made of x3","5c",5,"#N/A",0
100643,"lanxe",,"lax",,,"gismu","balance","衡",2,"x1 is in balance/equilibrium under forces x2 (mass)","7j",5,"#N/A",0
100644,"lanzu",,"laz",,,"gismu","family","氏",3,"x1 (mass) is a family with members including x2 bonded/tied/joined according to standard x3","4b",44,16,16
100645,"larcu",,"lar",,,"gismu","art","艺",2,"x1 (process) is an art [creative application] of craft/skill x2 (idea/activity)","8c",11,6,6
