"guid","spelling","published","abbr1","abbr2","abbr3","type","gloss","character","arity","relational phrase","Original Textbook Order","LogFlash Order/Frequency",,"frequency"
100000,"bacru",,,,"ba'u","gismu","utter","说",2,"x1 utters verbally/says/phonates/speaks [vocally makes sound] x2","1h",386,82,82
100001,"badna",,,,,"gismu","banana","蕉",2,"x1 is a banana/plantain [fruit/plant] of species/breed x2","aj",2,"#N/A",0
100002,"badri",,,"dri",,"gismu","sad","囧",2,"x1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x2 (abstraction)","3c",91,39,39
100003,"bajra",,"baj",,,"gismu","run","跑",4,"x1 runs on surface x2 using limbs x3 with gait x4","2b",0,37,37
100004,"bakfu",,"baf",,,"gismu","bundle","包",3,"x1 is a bundle/package/cluster/clump/pack [shape/form] containing x2, held together by x3","9b",3,"#N/A",0
100005,"bakni",,"bak",,,"gismu","bovine","牛",2,"x1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x2","ai",8,5,5
100006,"bakri",,,,,"gismu","chalk","垩",3,"x1 is a quantity of/contains/is made of chalk from source x2 in form x3","ah",2,"#N/A",0
100007,"baktu",,,,,"gismu","bucket","桶",3,"x1 is a bucket/pail/can/deep, solid, wide-topped container of contents x2, made of material x3","ao",0,"#N/A",0
100008,"balji",,,,,"gismu","bulb","鳞",2,"x1 is a bulb [body-part] of plant/species x2; [metaphor: rounded, bulgy]","aj",1,2,2
100009,"balni",,,,,"gismu","balcony","悬",2,"x1 is a balcony/overhang/ledge/shelf of building/structure x2","a",0,"#N/A",0
100010,"balre",,,,"ba'e","gismu","blade","刃",2,"x1 is a blade of tool/weapon x2","a",3,1,1
100011,"balvi",,"bav",,,"gismu","future","未",2,"x1 is in the future of/later than/after x2 in time sequence; x1 is latter; x2 is former","4a",56,7,7
100012,"bancu",,"bac",,,"gismu","beyond","超",4,"x1 exceeds/is beyond limit/boundary x2 from x3 in property/amount x4 (ka/ni)","7j",7,6,6
100013,"bandu",,"bad",,,"gismu","defend","守",3,"x1 (event) defends/protects x2 (object/state) from threat/peril/potential x3 (event)","8g",9,5,5
100014,"banfi",,,,,"gismu","amphibian","栖",2,"x1 is an amphibian of species/breed x2","ai",4,2,2
100015,"bangu",,"ban",,"bau","gismu","language","语",3,"x1 is a/the language/dialect used by x2 to express/communicate x3 (si'o/du'u, not quote)","1b",162,58,58
100016,"banli",,"bal",,"ba'i","gismu","great","伟",3,"x1 is great/grand in property x2 (ka) by standard x3","7j",96,44,44
100017,"banro",,,,"ba'o","gismu","grow","增",3,"x1 grows/expands [an increasing development] to size/into form x2 from x3","8f",26,31,31
100018,"banxa",,"bax",,,"gismu","bank","贮",3,"x1 is a bank owned by/in banking system x2 for banking function(s) x3 (event)","ap",0,"#N/A",0
100019,"banzu",,"baz",,,"gismu","suffice","够",3,"x1 (object) suffices/is enough/sufficient for purpose x2 under conditions x3","3m",89,40,40
100020,"bapli",,"bap",,"bai","gismu","force","迫",2,"x1 [force] (ka) forces/compels event x2 to occur; x1 determines property x2 to manifest","as",20,7,7
100021,"barda",,,"bra",,"gismu","big","大",3,"x1 is big/large in property/dimension(s) x2 (ka) as compared with standard/norm x3","1e",318,70,70
100022,"bargu",,"bag",,,"gismu","arch","拱",3,"x1 arches/curves over/around x2 and is made of x3; x1 is an arch over/around x2 of material x3","9b",9,4,4
100023,"barja",,,,,"gismu","bar","吧",3,"x1 is a tavern/bar/pub serving x2 to audience/patrons x3","ap",0,12,12
100024,"barna",,,,"ba'a","gismu","mark","志",3,"x1(s) is a/are mark(s)/spot(s) on x2 of material x3","a",0,13,13
100025,"bartu",,"bar",,,"gismu","out","外",2,"x1 is on the outside of x2; x1 is exterior to x2","1e",82,27,27
100026,"basna",,,,,"gismu","emphasize","突",3,"x1 emphasizes/accentuates/gives emphasis/stress/accent to x2 by (action) x3","1h",16,2,2
100027,"basti",,"bas",,,"gismu","replace","替",3,"x1 replaces/substitutes for/instead of x2 in circumstance x3; x1 is a replacement/substitute","3m",35,14,14
100028,"batci",,"bat",,,"gismu","bite","咬",4,"x1 bites/pinches x2 on/at specific locus x3 with x4","5c",83,3,3
100029,"batke",,,,,"gismu","button","钮",4,"x1 is a button/knob/[handle] on/for item x2, with purpose x3, made of material x4","a",2,2,2
100030,"bavmi",,,,,"gismu","barley","牟",2,"x1 is a quantity of barley [grain] of species/strain x2","aj",3,4,4
100031,"baxso",,,,,"gismu","Malay-Indonesian","尼",2,"x1 reflects Malay-Indonesian common language/culture in aspect x2","ab",2,"#N/A",0
100032,"bebna",,"beb",,,"gismu","foolish","傻",2,"x1 is foolish/silly in event/action/property [folly] (ka) x2; x1 is a boob","5g",69,28,28
100033,"bemro",,"bem",,"be'o","gismu","North American","洮",2,"x1 reflects North American culture/nationality/geography in aspect x2","ab",6,1,1
100034,"bende",,"bed",,"be'e","gismu","crew","队",4,"x1 is a crew/team/gang/squad/band of persons x2 directed/led by x3 organized for purpose x4","ap",1,3,3
100035,"bengo",,"beg",,,"gismu","Bengali","孟",2,"x1 reflects Bengali/Bangladesh culture/nationality/language in aspect x2","ab",1,"#N/A",0
100036,"benji",,"bej",,"be'i","gismu","transfer","发",5,"x1 transfers/sends/transmits x2 to receiver x3 from transmitter/origin x4 via means/medium x5","4i",79,26,26
100037,"bersa",,"bes",,"be'a","gismu","son","儿",2,"x1 is a son of mother/father/parents x2 [not necessarily biological]","4b",29,20,20
100038,"berti",,"ber",,,"gismu","north","北",3,"x1 is to the north/northern side [right-hand-rule pole] of x2 according to frame of reference x3","5d",91,11,11
100039,"besna",,"ben",,,"gismu","brain","脑",2,"x1 is a/the brain [body-part] of x2; [metaphor: intelligence, mental control]","aa",17,3,3
100040,"betfu",,"bef",,"be'u","gismu","abdomen","腹",2,"x1 is a/the abdomen/belly/lower trunk [body-part] of x2; [metaphor: midsection]","1c",9,1,1
100041,"betri",,"bet",,,"gismu","tragedy","悲",2,"x1 is a tragedy/disaster/tragic for x2","4c",53,3,3
100042,"bevri",,"bev",,"bei","gismu","carry","带",5,"x1 carries/hauls/bears/transports cargo x2 to x3 from x4 over path x5; x1 is a carrier/[porter]","2b",149,29,29
100043,"bidju",,,,,"gismu","bead","珠",2,"x1 is a bead/pebble [shape/form] of material x2","9b",19,2,2
100044,"bifce",,"bic",,,"gismu","bee","蜂",2,"x1 is a bee/wasp/hornet of species/breed x2","ai",0,"#N/A",0
100045,"bikla",,"bik",,,"gismu","whip","鞭",1,"x1 whips/lashes/snaps [a sudden violent motion]","ao",24,"#N/A",0
100046,"bilga",,"big",,,"gismu","obliged","务",3,"x1 is bound/obliged to/has the duty to do/be x2 in/by standard/agreement x3; x1 must do x2","8c",34,33,33
100047,"bilma",,,,"bi'a","gismu","ill","冒",3,"x1 is ill/sick/diseased with symptoms x2 from disease x3","4c",22,15,15
100048,"bilni",,"bil",,,"gismu","military","练",3,"x1 is military/regimented/is strongly organized/prepared by system x2 for purpose x3","a",0,"#N/A",0
100049,"bindo",,"bid",,,"gismu","Indonesian","哇",2,"x1 reflects Indonesian culture/nationality/language in aspect x2","ab",1,"#N/A",0
100050,"binra",,,,,"gismu","insure","保",4,"x1 insures/indemnifies x2 (person) against peril x3 (event) providing benefit(s) x4 (event)","a",0,"#N/A",0
100051,"binxo",,"bix",,"bi'o","gismu","become","变",3,"x1 becomes/changes/converts/transforms into x2 under conditions x3","2c",217,42,42
100052,"birje",,,,,"gismu","beer","啤",2,"x1 is made of/contains/is a amount of beer/ale/brew brewed from x2","2j",13,4,4
100053,"birka",,"bir",,,"gismu","arm","臂",2,"x1 is a/the arm [body-part] of x2; [metaphor: branch with strength]","1c",57,21,21
100054,"birti",,"bit",,,"gismu","certain","服",2,"x1 is certain/sure/positive/convinced that x2 is true","3l",31,6,6
100055,"bisli",,"bis",,,"gismu","ice","冰",2,"x1 is a quantity of/is made of/contains ice [frozen crystal] of composition/material x2","5b",43,1,1
100056,"bitmu",,"bim",,"bi'u","gismu","wall","墙",4,"x1 is a wall/fence separating x2 and x3 (unordered) of/in structure x4","1h",152,13,13
100057,"blabi",,"lab",,,"gismu","white","白",1,"x1 is white/very-light colored [color adjective]","1a",107,40,40
100058,"blaci",,,,,"gismu","glass","玻",2,"x1 is a quantity of/is made of/contains glass of composition including x2","6b",5,10,10
100059,"blanu",,,"bla",,"gismu","blue","蓝",1,"x1 is blue [color adjective]","1a",132,5,5
100060,"bliku",,,"bli",,"gismu","block","块",3,"x1 is a block [3-dimensional shape/form] of material x2, surfaces/sides x3","9b",8,1,1
100061,"bloti",,"lot","blo","lo'i","gismu","boat","船",3,"x1 is a boat/ship/vessel [vehicle] for carrying x2, propelled by x3","7f",33,6,6
100062,"bolci",,"bol",,"boi","gismu","ball","球",2,"x1 is a ball/sphere/orb/globe [shape/form] of material x2; x1 is a spherical object [made of x2]","9b",36,1,1
100063,"bongu",,"bog",,"bo'u","gismu","bone","骨",3,"x1 is a/the bone/ivory [body-part], performing function x2 in body of x3; [metaphor: calcium]","aa",3,3,3
100064,"botpi",,"bot",,"bo'i","gismu","bottle","瓶",4,"x1 is a bottle/jar/urn/flask/closable container for x2, made of material x3 with lid x4","1f",79,17,17
100065,"boxfo",,"bof",,"bo'o","gismu","sheet","箔",2,"x1 is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material x2","9b",0,1,1
100066,"boxna",,"bon",,"bo'a","gismu","wave","浪",5,"x1 is a wave [periodic pattern] in medium x2, wave-form x3, wave-length x4, frequency x5","9b",14,4,4
100067,"bradi",,,,,"gismu","enemy","敌",3,"x1 is an enemy/opponent/adversary/foe of x2 in struggle x3","2i",8,3,3
100068,"bratu",,,,,"gismu","hail","雹",2,"x1 is hail/sleet/freezing rain/solid precipitation of material/composition including x2","4h",0,"#N/A",0
100069,"brazo",,"raz",,,"gismu","Brazilian","孙",2,"x1 reflects Brazilian culture/nationality/language in aspect x2","ab",1,"#N/A",0
100070,"bredi",,"red","bre",,"gismu","ready","备",2,"x1 is ready/prepared for x2 (event)","9c",36,18,18
100071,"bridi",,,"bri",,"gismu","predicate","谓",3,"x1 (text) is a predicate relationship with relation x2 among arguments (sequence/set) x3","1b",1172,4,4
100072,"brife",,"bif",,"bi'e","gismu","breeze","风",3,"x1 is a breeze/wind/gale from direction x2 with speed x3; x1 blows from x2","4h",66,13,13
100073,"briju",,"bij",,,"gismu","office","厅",3,"x1 is an office/bureau/work-place of worker x2 at location x3","8c",54,4,4
100074,"brito",,"rit",,,"gismu","British","颠",2,"x1 reflects British/United Kingdom culture/nationality in aspect x2","ab",54,"#N/A",0
100075,"broda",,"rod",,,"gismu","predicate var 1","壹",0,"1st assignable variable predicate (context determines place structure)","ad",134,41,41
100076,"brode",,,,"bo'e","gismu","predicate var 2","贰",0,"2nd assignable variable predicate (context determines place structure)","ad",24,8,8
100077,"brodi",,,,,"gismu","predicate var 3","叁",0,"3rd assignable variable predicate (context determines place structure)","ad",10,8,8
100078,"brodo",,,,,"gismu","predicate var 4","肆",0,"4th assignable variable predicate (context determines place structure)","ad",5,"#N/A",0
100079,"brodu",,,,,"gismu","predicate var 5","伍",0,"5th assignable variable predicate (context determines place structure)","ad",5,3,3
100080,"bruna",,"bun",,"bu'a","gismu","brother","兄",3,"x1 is brother of/fraternal to x2 by bond/tie/standard/parent(s) x3; [not necess. biological]","4b",110,3,3
100081,"budjo",,"buj",,"bu'o","gismu","Buddhist","佛",2,"x1 pertains to the Buddhist culture/religion/ethos in aspect x2","ac",2,"#N/A",0
100082,"bukpu",,"buk",,"bu'u","gismu","cloth","布",2,"x1 is an amount of cloth/fabric of type/material x2","3f",20,3,3
100083,"bumru",,"bum",,,"gismu","fog","雾",2,"x1 is foggy/misty/covered by a fog/mist/vapor of liquid x2","4h",5,1,1
100084,"bunda",,"bud",,,"gismu","pound","镑",4,"x1 is x2 (def. 1) local weight unit(s) [non-metric], standard x3, subunits [e.g. ounces] x4","al",0,"#N/A",0
100085,"bunre",,"bur",,"bu'e","gismu","brown","棕",1,"x1 is brown/tan [color adjective]","1a",63,1,1
100086,"burcu",,,"bru",,"gismu","brush","刷",3,"x1 is a brush for purpose x2 (event) with bristles x3","ao",1,1,1
100087,"burna",,,,,"gismu","embarrassed","尴",2,"x1 is embarrassed/disconcerted/flustered/ill-at-ease about/under conditions x2 (abstraction)","9d",4,3,3
100088,"cabna",,"cab",,,"gismu","now","兹",2,"x1 is current at/in the present of/during/concurrent/simultaneous with x2 in time","4a",69,11,11
100089,"cabra",,,,"ca'a","gismu","apparatus","仪",3,"x1 is apparatus/mechanism/device/equipment for function x2 controlled/[triggered] by x3 (agent)","7g",5,4,4
100090,"cacra",,,,,"gismu","hour","忽",3,"x1 is x2 hours in duration (default is 1 hour) by standard x3","3e",21,17,17
100091,"cadzu",,,"dzu",,"gismu","walk","走",3,"x1 walks/strides/paces on surface x2 using limbs x3","1g",174,38,38
100092,"cafne",,"caf",,,"gismu","often","常",2,"x1 (event) often/frequently/commonly/customarily occurs/recurs by standard x2","6f",11,10,10
100093,"cakla",,,,,"gismu","chocolate","皋",1,"x1 is made of/contains/is a quantity of chocolate/cocoa","2j",8,1,1
100094,"calku",,"cak",,,"gismu","shell","贝",3,"x1 is a shell/husk [hard, protective covering] around x2 composed of x3","9f",24,"#N/A",0
100095,"canci",,,,,"gismu","vanish","消",3,"x1 vanishes/disappears from location x2; x1 ceases to be observed at x2 using senses/sensor x3","a",22,20,20
100096,"cando",,"cad",,,"gismu","idle","闲",1,"x1 is idle/at rest/inactive","8c",4,3,3
100097,"cange",,"cag",,,"gismu","farm","农",4,"x1 is a farm/ranch at x2, farmed by x3, raising/producing x4; (adjective:) x1 is agrarian","ap",10,21,21
100098,"canja",,"caj",,,"gismu","exchange","贩",4,"x1 exchanges/trades/barters commodity x2 for x3 with x4; x1, x4 is a trader/merchant/businessman","8d",12,3,3
100099,"canko",,,,"ca'o","gismu","window","窗",2,"x1 is a window/portal/opening [portal] in wall/building/structure x2","1f",153,11,11
100100,"canlu",,"cal",,"ca'u","gismu","space","间",2,"x1 is space/volume/region/room [at-least-3-dimensional area] occupied by x2","al",18,18,18
100101,"canpa",,,"cna",,"gismu","shovel","铲",2,"x1 is a shovel/spade [bladed digging implement] for digging x2","ao",6,1,1
100102,"canre",,"can",,,"gismu","sand","沙",3,"x1 is a quantity of/contains/is made of sand/grit from source x2 of composition including x3","ah",5,5,5
100103,"canti",,,,,"gismu","gut","肠",2,"x1 is a/the gut(s)/entrails/intestines/viscera/innards/digestive system [body-part] of x2","aa",5,"#N/A",0
100104,"carce",,,,,"gismu","cart","厢",3,"x1 is a cart/carriage/wagon [wheeled vehicle] for carrying x2, propelled by x3","ao",3,2,2
100105,"carmi",,"cam",,"cai","gismu","intense","烈",3,"x1 is intense/bright/saturated/brilliant in property (ka) x2 as received/measured by observer x3","1a",143,35,35
100106,"carna",,"car",,,"gismu","turn","转",3,"x1 turns/rotates/revolves around axis x2 in direction x3","1g",48,11,11
100107,"cartu",,"cat",,,"gismu","chart","表",3,"x1 is a chart/diagram/map of/about x2 showing formation/data-points x3","5d",7,4,4
100108,"carvi",,"cav",,,"gismu","rain","雨",3,"x1 rains/showers/[precipitates] to x2 from x3; x1 is precipitation [not limited to 'rain']","4h",107,23,23
100109,"casnu",,,"snu",,"gismu","discuss","讨",2,"x1(s) (mass normally, but 1 individual/jo'u possible) discuss(es)/talk(s) about topic/subject x2","1h",107,61,61
100110,"catke",,,,"ca'e","gismu","shove","推",3,"x1 [agent] shoves/pushes x2 at locus x3","8h",9,7,7
100111,"catlu",,,"cta",,"gismu","look","看",2,"x1 looks at/examines/views/inspects/regards/watches/gazes at x2","1g",259,117,117
100112,"catni",,,,"ca'i","gismu","authority","权",3,"x1 has authority/is an official in/on/over matter/sphere/persons x2 derived on basis x3","8c",6,6,6
100113,"catra",,,,,"gismu","kill","杀",3,"x1 (agent) kills/slaughters/murders x2 by action/method x3","8g",82,19,19
100114,"caxno",,"cax",,,"gismu","shallow","浅",4,"x1 is shallow in extent in direction/property x2 away from reference point x3 by standard x4","6c",10,"#N/A",0
100115,"cecla",,"cel",,"ce'a","gismu","launcher","投",3,"x1 launches/fires/shoots projectile/missile x2, propelled by x3 [propellant/propulsion]","a",4,2,2
100116,"cecmu",,"cem",,"ce'u","gismu","community","群",2,"x1 is a community/colony of organisms x2","7c",33,14,14
100117,"cedra",,,,,"gismu","era","纪",2,"x1 is an era/epoch/age characterized by x2 (event/property/interval/idea)","a",9,10,10
100118,"cenba",,,"cne",,"gismu","vary","波",4,"x1 varies/changes in property/quantity x2 (ka/ni) in amount/degree x3 under conditions x4","2c",38,6,6
100119,"censa",,"ces",,,"gismu","holy","圣",2,"x1 is holy/sacred to person/people/culture/religion/cult/group x2","ac",58,11,11
100120,"centi",,"cen",,,"gismu",".01","c",3,"x1 is a hundredth [1/100; 1x10**-2] of x2 in dimension/aspect x3 (default is units)","ae",3,"#N/A",0
100121,"cerda",,"ced",,,"gismu","heir","承",4,"x1 is an heir to/is to inherit x2 (object/quality) from x3 according to rule x4","a",13,"#N/A",0
100122,"cerni",,"cer",,,"gismu","morning","晨",3,"x1 is a morning [dawn until after typical start-of-work for locale] of day x2 at location x3","3e",35,19,19
100123,"certu",,,"cre",,"gismu","expert","擅",3,"x1 is an expert/pro/has prowess in/is skilled at x2 (event/activity) by standard x3","8c",63,18,18
100124,"cevni",,"cev",,"cei","gismu","god","神",3,"x1 is a/the god/deity of people(s)/religion x2 with dominion over x3 [sphere]; x1 is divine","ac",197,80,80
100125,"cfari",,,"cfa",,"gismu","initiate","始",1,"x1 [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb)","2c",104,26,26
100126,"cfika",,"fik",,"fi'a","gismu","fiction","幻",3,"x1 is a work of fiction about plot/theme/subject x2/under convention x2 by author x3","8b",2,1,1
100127,"cfila",,,"cfi",,"gismu","flaw","陷",3,"x1 (property - ka) is a flaw/fault/defect in x2 causing x3","7j",19,11,11
100128,"cfine",,,,,"gismu","wedge","楔",2,"x1 is a wedge [shape/form/tool] of material x2","9b",2,"#N/A",0
100129,"cfipu",,,,"fi'u","gismu","confusing","迷",3,"x1 (event/state) confuses/baffles x2 [observer] due to [confusing] property x3 (ka)","1h",64,37,37
100130,"ciblu",,,"blu",,"gismu","blood","血",2,"x1 is blood/vital fluid of organism x2","4c",39,5,5
100131,"cicna",,,,,"gismu","cyan","青",1,"x1 is cyan/turquoise/greenish-blue [color adjective]","1a",2,"#N/A",0
100132,"cidja",,,"dja",,"gismu","food","食",2,"x1 is food/feed/nutriment for x2; x1 is edible/gives nutrition to x2","5b",78,21,21
100133,"cidni",,"cid",,,"gismu","knee","膝",3,"x1 is a/the knee/elbow/knuckle [hinged joint, body-part] of limb x2 of body x3","1c",8,11,11
100134,"cidro",,,"dro",,"gismu","hydrogen","氢",1,"x1 is a quantity of/contains/is made of hydrogen (H); [metaphor: light, flammable]","ag",1,"#N/A",0
100135,"cifnu",,"cif",,,"gismu","infant","婴",2,"x1 is an infant/baby [helpless through youth/incomplete development] of species x2","3b",22,14,14
100136,"cigla",,"cig",,,"gismu","gland","腺",3,"x1 is a/the gland [body-part] secreting x2, of body x3; x2 is a secretion of x1","aa",8,"#N/A",0
100137,"cikna",,"cik",,,"gismu","awake","醒",1,"(adjective:) x1 is awake/alert/conscious","6m",47,23,23
100138,"cikre",,,,,"gismu","repair","修",3,"x1 repairs/mends/fixes x2 for use x3","8c",13,12,12
100139,"ciksi",,,"cki",,"gismu","explain","释",4,"x1 (person) explains x2 (event/state/property) to x3 with explanation x4 (du'u)","1h",53,25,25
100140,"cilce",,"cic",,,"gismu","wild","野",1,"(adjective:) x1 is wild/untamed","6c",30,7,7
100141,"cilmo",,"cim",,,"gismu","moist","湿",2,"x1 is moist/wet/damp with liquid x2","6f",53,8,8
100142,"cilre",,,"cli",,"gismu","learn","学",5,"x1 learns x2 (du'u) about subject x3 from source x4 (obj./event) by method x5 (event/process)","1h",85,64,64
100143,"cilta",,"cil",,,"gismu","thread","丝",2,"x1 is a thread/filament/wire [shape/form] of material x2","9b",8,1,1
100144,"cimde",,,,,"gismu","dimension","维",3,"x1 (property - ka) is a dimension of space/object x2 according to rules/model x3","al",0,6,6
100145,"cimni",,,,,"gismu","infinite","茫",3,"x1 is infinite/unending/eternal in property/dimension x2, to degree x3 (quantity)/of type x3","al",17,"#N/A",0
100146,"cinba",,,,,"gismu","kiss","吻",3,"x1 (agent) kisses/busses x2 at locus x3","5g",17,7,7
100147,"cindu",,,,,"gismu","oak","橡",2,"x1 is an oak, a type of tree of species/strain x2","aj",2,"#N/A",0
100148,"cinfo",,,,,"gismu","lion","狮",2,"x1 is a lion/[lioness] of species/breed x2","ai",5,5,5
100149,"cinje",,"cij",,,"gismu","wrinkle","皱",2,"x1 is a wrinkle/crease/fold [shape/form] in x2","9b",5,"#N/A",0
100150,"cinki",,,,,"gismu","insect","虫",2,"x1 is an insect/arthropod of species x2; [bug/beetle]","6c",17,3,3
100151,"cinla",,,,,"gismu","thin","薄",3,"x1 is thin in direction/dimension x2 by standard x3; [relatively short in smallest dimension]","6f",7,2,2
100152,"cinmo",,,"cni",,"gismu","emotion","情",3,"x1 feels emotion x2 (ka) about x3","9d",91,40,40
100153,"cinri",,,,"ci'i","gismu","interesting","兴",2,"x1 (abstraction) interests/is interesting to x2; x2 is interested in x1","8b",62,50,50
100154,"cinse",,"cin",,,"gismu","sexual","性",4,"x1 in activity/state x2 exhibits sexuality/gender/sexual orientation x3 (ka) by standard x4","5g",48,2,2
100155,"cinta",,,,,"gismu","paint","漆",3,"x1 [material] is a paint of pigment/active substance x2, in a base of x3","a",6,1,1
100156,"cinza",,,,,"gismu","tongs","钳",3,"x1 is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for x2 to pinch x3","ao",6,1,1
100157,"cipni",,,"cpi",,"gismu","bird","鸟",2,"x1 is a bird/avian/fowl of species x2","6c",119,31,31
100158,"cipra",,"cip",,,"gismu","test","验",3,"x1 (process/event) is a test for/proof of property/state x2 in subject x3 (individ./set/mass)","7e",48,16,16
100159,"cirko",,,"cri",,"gismu","lose","失",3,"x1 loses person/thing x2 at/near x3; x1 loses property/feature x2 in conditions/situation x3","8g",39,7,7
100160,"cirla",,,,,"gismu","cheese","酪",2,"x1 is a quantity of/contains cheese/curd from source x2","5b",20,"#N/A",0
100161,"ciska",,,,"ci'a","gismu","write","写",4,"x1 inscribes/writes x2 on display/storage medium x3 with writing implement x4; x1 is a scribe","1h",270,72,72
100162,"cisma",,,,,"gismu","smile","笑",1,"x1 smiles/grins (facial expression)","1g",39,17,17
100163,"ciste",,,,"ci'e","gismu","system","系",4,"x1 (mass) system interrelated by structure x2 among components x3 (set) displaying x4 (ka)","7e",26,15,15
100164,"citka",,,"cti",,"gismu","eat","吃",2,"x1 eats/ingests/consumes (transitive verb) x2","5c",320,100,100
100165,"citno",,"cit",,"ci'o","gismu","young","幼",2,"x1 is young/youthful [relatively short in elapsed duration] by standard x2","2c",146,21,21
100166,"citri",,"cir",,,"gismu","history","史",3,"x1 is a history of x2 according to x3 (person)/from point-of-view x3","a",22,3,3
100167,"citsi",,,,,"gismu","season","季",3,"x1 is a season/is seasonal [cyclical interval], defined by interval/property x2, of year(s) x3","3e",15,4,4
100168,"civla",,"civ",,,"gismu","louse","虱",3,"x1 is a louse/flea [blood-sucking arthropod] of species/breed x2, parasitic on x3","ai",0,"#N/A",0
100169,"cizra",,"ciz",,,"gismu","strange","怪",3,"x1 is strange/weird/deviant/bizarre/odd to x2 in property x3 (ka)","6f",103,70,70
100170,"ckabu",,,,,"gismu","rubber","胶",3,"x1 is a quantity of/contains/is made of rubber/latex from source x2 of composition including x3","ah",1,"#N/A",0
100171,"ckafi",,"kaf",,,"gismu","coffee","咖",2,"x1 is made of/contains/is a quantity of coffee from source/bean/grain x2","2j",23,6,6
100172,"ckaji",,,,"kai","gismu","quality","征",2,"x1 has/is characterized by property/feature/trait/aspect/dimension x2 (ka); x2 is manifest in x1","3b",128,36,36
100173,"ckana",,,"cka",,"gismu","bed","床",3,"x1 is a bed/pallet of material x2 for holding/supporting x3 (person/object/event)","an",111,15,15
100174,"ckape",,"cap",,,"gismu","peril","危",3,"x1 is perilous/dangerous/potentially harmful to x2 under conditions x3","a",17,8,8
100175,"ckasu",,"cas",,,"gismu","ridicule","嘲",4,"x1 ridicules/mocks/scoffs at x2 about x3 (property/event) by doing activity x4 (event)","5g",30,10,10
100176,"ckeji",,"kej","cke",,"gismu","ashamed","愧",3,"x1 feels ashamed/mortified/humiliated under conditions x2 before community/audience x3","9d",2,3,3
100177,"ckiku",,"kik",,,"gismu","key","钥",3,"x1 is a key fitting/releasing/opening/unlocking lock x2, and having relevant properties x3","ao",20,11,11
100178,"ckilu",,,,"ci'u","gismu","scale","规",2,"x1 (si'o) is a scale of units for measuring/observing/determining x2 (state)","al",2,"#N/A",0
100179,"ckini",,,,"ki'i","gismu","related","联",3,"x1 is related to/associated with/akin to x2 by relationship x3","2g",46,8,8
100180,"ckire",,"kir",,,"gismu","grateful","谢",3,"x1 is grateful/thankful to/appreciative of x2 for x3 (event/property)","2l",53,12,12
100181,"ckule",,"kul",,"cu'e","gismu","school","校",5,"x1 is school/institute/academy at x2 teaching subject(s) x3 to audien./commun. x4 operated by x5","1h",95,47,47
100182,"ckunu",,,,"ku'u","gismu","conifer","杉",3,"x1 is a conifer/pine/fir of species/strain x2 with cones x3","aj",0,"#N/A",0
100183,"cladu",,,,"lau","gismu","loud","吵",3,"x1 is loud/noisy at observation point x2 by standard x3","2g",93,22,22
100184,"clani",,,"cla",,"gismu","long","长",3,"x1 is long in dimension/direction x2 (default longest dimension) by measurement standard x3","9b",90,31,31
100185,"claxu",,,,"cau","gismu","without","无",2,"x1 is without/lacking/free of/lacks x2; x1 is x2-less","2g",145,15,15
100186,"clika",,,,,"gismu","mossy","苔",3,"x1 is a moss/lichen of species/strain x2 growing on x3; (adjective:) x1 is mossy","aj",8,"#N/A",0
100187,"clira",,"lir",,,"gismu","early","早",2,"x1 (event) is early by standard x2","2g",35,8,8
100188,"clite",,"lit",,,"gismu","polite","尚",3,"x1 is polite/courteous/civil in matter x2 according to standard/custom x3","9c",37,10,10
100189,"cliva",,"liv",,"li'a","gismu","leave","离",3,"x1 leaves/goes away/departs/parts/separates from x2 via route x3","1g",115,148,148
100190,"clupa",,"cup",,,"gismu","loop","圈",2,"x1 is a loop/circuit of x2 [material]","9b",3,"#N/A",0
100191,"cmaci",,,,,"gismu","mathematics","畴",2,"x1 is a mathematics of type/describing x2","7e",10,12,12
100192,"cmalu",,,"cma",,"gismu","small","小",3,"x1 is small in property/dimension(s) x2 (ka) as compared with standard/norm x3","1e",326,102,102
100193,"cmana",,,,"ma'a","gismu","mountain","山",2,"x1 is a mountain/hill/mound/[rise]/[peak]/[summit]/[highlands] projecting from land mass x2","6c",85,7,7
100194,"cmavo",,,,"ma'o","gismu","structure word","杓",4,"x1 is a structure word of grammatical class x2, with meaning/function x3 in usage (language) x4","1b",1008,16,16
100195,"cmene",,,"cme","me'e","gismu","name","名",3,"x1 (quoted word(s)) is a/the name/title/tag of x2 to/used-by namer/name-user x3 (person)","1b",265,140,140
100196,"cmila",,,,"mi'a","gismu","laugh","哈",1,"x1 laughs (emotional expression)","1g",64,15,15
100197,"cmima",,"mim","cmi",,"gismu","member","员",2,"x1 is a member/element of set x2; x1 belongs to group x2; x1 is amid/among/amongst group x2","7c",117,55,55
100198,"cmoni",,,"cmo","co'i","gismu","moan","吟",3,"x1 utters moan/groan/howl/scream [non-linguistic utterance] x2 expressing x3 (property)","4c",32,12,12
